Light	Herbivory	Iteration	Plant	hac	hexenol	Hexenal
Low	w	it_15	26	0,903778443	5,468263473	6,17742515
Low	w	it_15	27	0,399878788	5,83509697	6,224060606
Low	w	it_15	28	2,161060403	7,238322148	6,957785235
Low	w	it_15	29	1,606942446	6,943539568	7,71676259
Low	w	it_15	30	0,181361157	4,161487603	4,472107438
Low	w	it_15	31	2,523905797	7,409565217	6,34115942
Low	w	it_15	32	1,335903614	5,070054217	6,770783133
High	nw	it_16	1	2,171530612	6,236006803	4,248918367
High	nw	it_16	2	1,983592105	7,372368421	5,542026316
High	nw	it_16	3	0,394203141	4,767005236	2,989403141
High	nw	it_16	4	0,594824176	4,313472527	3,299989011
High	nw	it_16	5	1,304317308	4,749942308	1,480336538
High	nw	it_16	6	1,847895652	9,167304348	5,97466087
High	nw	it_16	7	0,722686047	5,745784884	3,65597093
High	nw	it_16	8	0,125565734	6,863097902	3,328951049
High	w	it_16	9	0,807237624	3,262673267	3,262242574
High	w	it_16	10	1,416382813	7,188007813	4,051703125
High	w	it_16	11	1,056182292	4,464630208	4,580453125
High	w	it_16	12	1,443392593	6,978962963	4,076992593
High	w	it_16	13	1,397241611	6,430201342	5,916208054
High	w	it_16	14	1,777681564	5,657709497	5,681396648
High	w	it_16	15	0,364507051	5,140512821	4,785538462
High	w	it_16	16	1,563748344	5,891178808	3,404960265
Low	nw	it_16	17	0,204015111	4,027333333	3,850848889
Low	nw	it_16	18	0,56122948	3,904260116	4,779751445
Low	nw	it_16	19	1,000347368	5,186157895	4,132205263
Low	nw	it_16	20	1,171653846	6,006061538	6,061315385
Low	nw	it_16	21	0,009165061	3,532165992	3,266676113
Low	nw	it_16	22	0,524388406	6,316181159	6,38323913
Low	nw	it_16	23	0,74575	6,011006757	5,879317568
Low	nw	it_16	24	0,49986087	4,037530435	3,753308696
Low	w	it_16	25	1,911991935	8,4775	5,929540323
Low	w	it_16	26	0,843820359	4,431389222	5,623179641
Low	w	it_16	27	1,521860606	5,096169697	4,416472727
Low	w	it_16	28	1,755067114	5,750919463	7,16557047
Low	w	it_16	29	0,87871223	5,850388489	3,688201439
Low	w	it_16	30	0,961421488	4,07196281	3,596801653
Low	w	it_16	31	2,271195652	7,70384058	6,746768116
Low	w	it_16	32	1,685524096	4,934018072	7,445481928
High	nw	it_17	1	1,978136054	8,373945578	5,474884354
High	nw	it_17	2	1,798296053	5,995184211	5,529927632
High	nw	it_17	3	0,644486911	4,292073298	2,743638743
