Emitter	Vol_Emitter	Light_Emitter	Receiver	Experiment	Iteration	Plant	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
A	constitutive	High_RFR	Low_RFR	2	4	8	52,9127451	27,51254902	3,714102941	24,46642157	0,779946078
A	constitutive	High_RFR	Low_RFR	3	4	9	76,63333333	28,65466667	3,464172222	25,74433333	0,945088889
B	hipvs	High_RFR	Low_RFR	1	4	10	98,90441989	106,7983425	13,86657459	64,93093923	1,834629834
B	hipvs	High_RFR	Low_RFR	2	4	11	80,38666667	74,89133333	11,93186667	42,2384	2,091186667
B	hipvs	High_RFR	Low_RFR	3	4	12	68,95961538	68,07692308	14,28033654	50,20240385	1,027389423
B	hipvs	High_RFR	Low_RFR	1	4	13	99,12730627	85,99630996	14,75885609	60,23948339	1,184343173
B	hipvs	High_RFR	Low_RFR	2	4	14	131,8138211	146,402439	19,59052846	77,44146341	1,788247967
B	hipvs	High_RFR	Low_RFR	3	4	15	62,27093023	70,60852713	9,008100775	52,52364341	0,783662791
B	hipvs	High_RFR	Low_RFR	1	4	16	115,9670492	57,11442623	4,919459016	47,9652459	1,198881967
B	hipvs	High_RFR	Low_RFR	2	4	17	72,78616352	35,1454717	5,135842767	25,78327044	1,049792453
B	hipvs	High_RFR	Low_RFR	3	4	18	64,01038251	24,10016393	5,061333333	18,09617486	0,800655738
E	constitutive	Low_RFR	Low_RFR	1	4	19	106,7466216	111,0851351	15,4772973	65,54918919	1,42425
E	constitutive	Low_RFR	Low_RFR	2	4	20	59,53348624	93,9146789	15,22077982	78,13119266	1,06937156
E	constitutive	Low_RFR	Low_RFR	3	4	21	89,84434783	80,37565217	13,81417391	38,71704348	1,204295652
E	constitutive	Low_RFR	Low_RFR	1	4	22	116,7357143	152,2402597	24,19857143	75,50324675	2,488422078
E	constitutive	Low_RFR	Low_RFR	2	4	23	74,08109244	93,83529412	12,3187395	58,12058824	1,504663866
E	constitutive	Low_RFR	Low_RFR	3	4	24	95,26413043	121,5695652	13,62429348	71,82282609	1,209733696
E	constitutive	Low_RFR	Low_RFR	1	4	25	79,06890244	36,56506098	4,979146341	33,50908537	1,190786585
E	constitutive	Low_RFR	Low_RFR	2	4	26	80,34382022	37,96808989	3,853904494	21,57342697	1,113438202
E	constitutive	Low_RFR	Low_RFR	3	4	27	57,54606742	30,66460674	5,297938202	20,80297753	0,927674157
F	hipvs	Low_RFR	Low_RFR	1	4	28	67,90918367	89,35646259	22,08319728	80,72857143	1,190761905
F	hipvs	Low_RFR	Low_RFR	2	4	29	148,630303	216,2116162	26,30868687	107,4924242	1,454449495
F	hipvs	Low_RFR	Low_RFR	3	4	30	68,99430052	69,47253886	13,41233161	57,35699482	0,772476684
F	hipvs	Low_RFR	Low_RFR	1	4	31	97,22460317	80,48214286	12,04670635	49,66626984	0,96334127
F	hipvs	Low_RFR	Low_RFR	2	4	32	90,66026201	149,3462882	14,02943231	42,83279476	1,725388646
F	hipvs	Low_RFR	Low_RFR	3	4	33	86,91804124	121,5912371	18,06757732	98,88453608	1,660721649
F	hipvs	Low_RFR	Low_RFR	1	4	34	106,8962687	56,83962687	8,934701493	40,17007463	1,504171642
F	hipvs	Low_RFR	Low_RFR	2	4	35	113,532	49,0184	6,426992	30,32088	1,239216
F	hipvs	Low_RFR	Low_RFR	3	4	36	122,9052288	24,54986928	4,432477124	23,7503268	1,131908497
A	constitutive	High_RFR	Low_RFR	1	5	1	79,38831169	105,1746753	20,57019481	64,97077922	1,569266234
A	constitutive	High_RFR	Low_RFR	2	5	2	107,3824176	106,7862637	18,71978022	60,26428571	1,904071429
A	constitutive	High_RFR	Low_RFR	3	5	3	63,18023256	49,84488372	11,1117907	24,88081395	1,008482558
A	constitutive	High_RFR	Low_RFR	1	5	4	38,45395189	34,95876289	6,493402062	24,74769759	0,588415808
A	constitutive	High_RFR	Low_RFR	2	5	5	43,73270408	35,86867347	8,622142857	24,42581633	0,949158163
A	constitutive	High_RFR	Low_RFR	3	5	6	33,64090551	32,47031496	6,746889764	19,28405512	0,784106299
