Replication	Emitter_Treatments	LightEmitter	Herbivory_Emitter	Receiver	Plant	Monoterpenes	Indole	DMNT	Sesquiterpenes	TMTT	SUM_Volatiles
1	LowControl	LowR_FR	control	HighR_FR	2	370,1537615	314,1644954	235,3369266	79,62774312	6,723145872	1012,422001
1	LowControl	LowR_FR	control	HighR_FR	3	265,8057826	411,4058261	144,9580435	59,31030435	7,23797913	894,32624
2	LowControl	LowR_FR	control	HighR_FR	1	415,287013	475,2894805	245,6151039	85,62333117	11,08801299	1241,41237
2	LowControl	LowR_FR	control	HighR_FR	2	284,3012185	360,6640756	185,8808193	49,63271429	7,124007143	897,3818223
2	LowControl	LowR_FR	control	HighR_FR	3	350,9906522	436,9244565	228,5274891	53,88665217	7,196576087	1085,333049
3	LowControl	LowR_FR	control	HighR_FR	1	226,951622	406,0396951	142,8388232	37,80532317	8,018137195	827,2687841
3	LowControl	LowR_FR	control	HighR_FR	2	218,6768483	424,9941573	98,24284326	33,53478652	6,947793258	789,1599904
3	LowControl	LowR_FR	control	HighR_FR	3	139,8386067	288,6658427	77,39783146	34,12639326	6,762057303	552,9457202
1	LowHerb	LowR_FR	herbivory	HighR_FR	1	303,6057143	300,6972109	282,7543605	92,40659864	6,992764626	994,6916027
1	LowHerb	LowR_FR	herbivory	HighR_FR	2	725,8993939	682,4161616	401,2474747	115,8826768	10,07058232	1947,527941
1	LowHerb	LowR_FR	herbivory	HighR_FR	3	259,36	336,8941969	203,4105648	63,15172021	5,660293264	876,1250031
2	LowHerb	LowR_FR	herbivory	HighR_FR	1	264,4457143	457,3948413	167,9473849	52,91059127	5,87725	954,336254
2	LowHerb	LowR_FR	herbivory	HighR_FR	2	449,9596507	421,5451092	137,1323799	56,7310393	9,511165939	1081,661524
2	LowHerb	LowR_FR	herbivory	HighR_FR	3	377,7535052	398,2870103	320,4153351	75,333	7,789778351	1186,780933
3	LowHerb	LowR_FR	herbivory	HighR_FR	1	281,6181343	528,2049254	164,3352612	60,96287313	9,733735075	1055,282728
3	LowHerb	LowR_FR	herbivory	HighR_FR	2	246,932312	544,394	127,553984	46,020456	8,1245832	980,050828
3	LowHerb	LowR_FR	herbivory	HighR_FR	3	139,0233529	624,0431373	94,4413902	33,50015033	8,020417647	904,6425817
1	LowControl	LowR_FR	control	LowR_FR	1	588,0791518	407,3336607	380,5125	131,0872589	7,626991071	1523,754763
1	LowControl	LowR_FR	control	LowR_FR	2	496,44125	468,823629	287,0720242	91,12854839	6,83647379	1359,105591
1	LowControl	LowR_FR	control	LowR_FR	3	516,4248718	342,9362222	347,4327436	105,427735	10,76591197	1334,74521
2	LowControl	LowR_FR	control	LowR_FR	1	483,4023843	270,6202847	187,8544413	58,20292883	5,718370107	1014,473164
2	LowControl	LowR_FR	control	LowR_FR	2	508,7646591	354,9068182	255,4459091	95,92924242	9,201287879	1231,543663
2	LowControl	LowR_FR	control	LowR_FR	3	501,3489	400,6977333	270,72899	84,77207333	7,246146667	1272,494943
3	LowControl	LowR_FR	control	LowR_FR	1	309,4989692	421,3757692	138,3125677	69,6393	7,690603846	957,9726254
3	LowControl	LowR_FR	control	LowR_FR	2	259,6525	438,999359	155,6862346	59,21903205	11,82165128	931,5384
3	LowControl	LowR_FR	control	LowR_FR	3	270,6426548	440,6523095	151,3245929	68,0232619	13,95302381	954,2611929
1	LowHerb	LowR_FR	herbivory	LowR_FR	1	872,2427197	803,5397071	485,0221799	124,2930042	8,207077406	2306,062847
1	LowHerb	LowR_FR	herbivory	LowR_FR	2	740,6405	477,5895769	474,9047077	129,6098462	7,732372308	1841,087984
1	LowHerb	LowR_FR	herbivory	LowR_FR	3	687,3965044	453,4032301	471,4110575	132,8565487	6,638265487	1761,321504
2	LowHerb	LowR_FR	herbivory	LowR_FR	1	526,0250973	499,2380545	275,6173696	108,3840661	8,921447471	1434,309311
2	LowHerb	LowR_FR	herbivory	LowR_FR	2	373,6743556	332,6243556	237,3745378	74,90588	5,732702222	1031,453215
2	LowHerb	LowR_FR	herbivory	LowR_FR	3	382,9293789	413,6445031	179,4711553	60,59810559	5,884913043	1049,013984
3	LowHerb	LowR_FR	herbivory	LowR_FR	1	315,2580353	673,3580353	185,5784718	61,4376	15,65152353	1264,089607
3	LowHerb	LowR_FR	herbivory	LowR_FR	2	259,8059406	452,3840099	123,2795178	46,58132178	9,642742079	898,3200817
3	LowHerb	LowR_FR	herbivory	LowR_FR	3	281,5447191	516,8411798	133,7984135	64,2958764	9,449379775	1014,958608
